"Date","High price","Low price","Closing price"
"2021-10-28","2405.11","2387.99","2405.03"
"2021-10-29","2405.98","2375.29","2399.72"
"2021-11-01","2415.89","2401.63","2412.38"
"2021-11-02","2421.72","2399.08","2415.37"
"2021-11-03","2429.65","2401.12","2429.65"
"2021-11-04","2454.32","2440.65","2447.30"
"2021-11-05","2452.18","2423.69","2428.21"
"2021-11-08","2449.71","2427.74","2443.86"
"2021-11-09","2452.42","2432.94","2437.04"
"2021-11-10","2435.78","2415.47","2427.30"
"2021-11-11","2450.75","2422.33","2449.13"
"2021-11-12","2458.68","2445.79","2458.33"
"2021-11-15","2457.96","2446.41","2457.77"
"2021-11-16","2468.45","2454.53","2462.51"
"2021-11-17","2473.57","2453.38","2471.30"
"2021-11-18","2477.24","2448.03","2451.97"
"2021-11-19","2464.84","2443.30","2450.73"
"2021-11-22","2459.96","2437.68","2440.00"
"2021-11-23","2418.91","2380.66","2383.09"
"2021-11-24","2397.90","2365.85","2374.76"
"2021-11-25","2400.63","2379.87","2393.34"
"2021-11-26","2339.72","2297.52","2314.38"
"2021-11-29","2347.17","2312.00","2335.08"
"2021-11-30","2332.61","2295.51","2307.87"
"2021-12-01","2347.46","2316.72","2345.60"
"2021-12-02","2328.05","2291.34","2311.75"
"2021-12-03","2324.00","2284.52","2286.27"
"2021-12-06","2326.56","2295.43","2320.05"
"2021-12-07","2387.68","2341.33","2386.19"
"2021-12-08","2416.48","2386.55","2391.55"
"2021-12-09","2404.95","2391.50","2396.94"
"2021-12-10","2397.00","2375.38","2385.86"
"2021-12-13","2408.56","2382.57","2385.90"
"2021-12-14","2398.01","2345.04","2346.17"
"2021-12-15","2373.17","2352.06","2370.53"
"2021-12-16","2415.69","2392.88","2405.34"
"2021-12-17","2400.08","2368.63","2389.42"
"2021-12-20","2351.41","2271.94","2314.26"
"2021-12-21","2358.27","2334.23","2353.19"
"2021-12-22","2387.63","2360.05","2387.63"
"2021-12-23","2411.89","2386.35","2410.59"
"2021-12-27","2437.02","2403.41","2434.03"
"2021-12-28","2458.96","2438.79","2452.88"
"2021-12-29","2458.89","2436.70","2443.00"
"2021-12-30","2459.97","2446.07","2451.68"
"2021-12-31","2453.46","2445.24","2446.44"
"2022-01-03","2466.13","2440.80","2447.09"
"2022-01-04","2462.56","2436.55","2442.45"
"2022-01-05","2450.49","2429.53","2431.56"
"2022-01-06","2410.72","2387.13","2396.82"
"2022-01-10","2386.36","2310.82","2314.49"
"2022-01-11","2355.36","2331.08","2335.93"
"2022-01-12","2364.93","2340.70","2361.72"
"2022-01-13","2365.16","2345.88","2353.03"
"2022-01-14","2338.79","2294.75","2296.07"
"2022-01-17","2313.16","2292.32","2310.38"
"2022-01-18","2299.97","2258.40","2274.80"
"2022-01-19","2302.94","2248.43","2282.36"
"2022-01-20","2299.82","2263.20","2297.90"
"2022-01-21","2259.80","2222.12","2239.51"
"2022-01-24","2227.67","2124.52","2143.66"
"2022-01-25","2184.88","2151.35","2163.78"
"2022-01-26","2219.40","2176.46","2198.84"
"2022-01-27","2216.18","2156.06","2204.51"
"2022-01-28","2197.06","2153.40","2179.29"
"2022-01-31","2235.45","2207.48","2227.07"
"2022-02-01","2261.42","2240.06","2252.68"
"2022-02-02","2291.93","2277.77","2288.16"
"2022-02-03","2285.30","2234.82","2235.80"
"2022-02-04","2256.19","2181.38","2183.69"
"2022-02-07","2220.34","2182.88","2219.26"
"2022-02-08","2232.51","2193.09","2198.05"
"2022-02-09","2265.48","2216.73","2261.59"
"2022-02-10","2277.67","2221.85","2235.01"
"2022-02-11","2222.29","2193.75","2206.14"
"2022-02-14","2159.84","2117.44","2152.80"
"2022-02-15","2209.55","2150.09","2206.22"
"2022-02-16","2216.30","2188.00","2197.19"
